Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,18697,0,93,360,1.0,Urban,Y
Male,No,0,Graduate,No,7987,787,96,480,1.0,Semiurban,Y
Male,No,0,Graduate,No,7632,1133,338,360,1.0,Rural,Y
Male,No,0,Graduate,No,4747,0,334,360,1.0,Urban,Y
Female,Yes,2,Not Graduate,No,9066,359,209,360,1.0,Semiurban,Y
Female,No,1,Graduate,No,3921,470,87,120,1.0,Urban,Y
Male,Yes,0,Graduate,No,5988,1827,82,360,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,2587,0,329,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,10174,6681,318,300,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,6023,1455,142,360,1.0,Rural,Y
Female,No,0,Graduate,Yes,19687,5223,604,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,26228,1943,195,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,8386,0,76,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,5155,0,125,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,2534,0,148,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,9258,4528,156,300,1.0,Semiurban,Y
Male,No,0,Graduate,No,5694,1762,314,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,7162,503,83,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,16495,403,66,360,1.0,Rural,Y
Female,Yes,2,Graduate,Yes,2759,1770,213,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,2573,0,109,480,1.0,Rural,Y
Male,No,2,Graduate,No,4165,1076,635,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,8732,2277,261,360,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,7247,628,108,180,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,2625,0,307,360,0.0,Rural,N
Male,Yes,1,Graduate,No,8346,5949,230,360,0.0,Urban,Y
Female,No,0,Graduate,Yes,2119,654,217,360,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,2734,0,137,300,1.0,Rural,Y
Male,Yes,0,Graduate,No,4533,4888,190,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,3336,1805,42,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,9162,0,327,360,1.0,Semiurban,Y
Female,No,1,Not Graduate,No,6005,0,18,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,16913,770,113,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,4133,0,56,120,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4511,3314,109,180,0.0,Urban,Y
Male,No,0,Graduate,No,11467,1321,141,240,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4611,0,72,360,0.0,Semiurban,Y
Male,No,2,Not Graduate,No,13985,0,28,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,7176,850,168,360,1.0,Rural,Y
Male,No,1,Graduate,No,946,0,518,360,1.0,Rural,Y
Male,Yes,3+,Not Graduate,No,11207,1907,120,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9310,4582,263,360,1.0,Urban,Y
Female,Yes,3+,Graduate,Yes,9565,2280,365,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,1289,0,47,480,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,3089,244,112,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,3254,1497,69,360,1.0,Urban,Y
Female,No,2,Graduate,No,2727,0,91,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,16636,0,412,180,0.0,Urban,N
Female,Yes,0,Graduate,No,4874,6804,169,360,0.0,Semiurban,N
Female,No,0,Graduate,No,4790,0,238,180,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,7232,1056,144,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,7321,647,71,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,476,603,222,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,3126,4052,314,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,1828,3020,179,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,6504,1691,199,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4014,0,70,360,0.0,Urban,Y
Female,No,0,Graduate,No,4967,2084,226,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,1147,4732,332,360,0.0,Urban,N
Male,Yes,0,Graduate,No,3956,0,189,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,10727,0,50,360,1.0,Semiurban,Y
Male,No,1,Not Graduate,No,13182,0,395,120,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,8129,340,84,360,0.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,1929,0,187,360,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,11867,3308,262,360,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,8158,486,283,360,0.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,4527,1192,50,360,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,1190,1825,159,360,1.0,Rural,Y
Female,No,2,Graduate,No,9580,2284,153,360,1.0,Rural,Y
Male,Yes,0,Graduate,Yes,3246,1368,351,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,6262,559,195,360,1.0,Rural,Y
Male,No,2,Graduate,No,5155,1712,353,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,14427,0,205,360,1.0,Rural,Y
Male,No,1,Graduate,No,4501,0,141,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,4863,1162,166,300,0.0,Semiurban,Y
Female,No,0,Graduate,No,14839,1580,370,360,1.0,Rural,Y
Male,No,1,Graduate,No,3100,0,68,180,0.0,Semiurban,N
Female,No,1,Graduate,No,8690,0,255,360,0.0,Semiurban,N
Female,No,2,Graduate,No,4276,1253,101,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,2436,0,89,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,4918,6383,274,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,7976,0,87,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,12677,9814,186,480,1.0,Rural,Y
Female,No,0,Graduate,No,13798,546,110,360,1.0,Urban,Y
Female,No,0,Graduate,No,3998,0,36,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,2462,1767,197,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,3931,1659,160,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,2149,1938,47,360,1.0,Semiurban,Y
Female,No,2,Not Graduate,No,4221,20082,97,180,1.0,Urban,Y
Female,Yes,2,Not Graduate,Yes,3869,612,50,240,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,8178,885,230,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,1049,0,341,360,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,2940,976,247,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,2957,0,268,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,11282,0,108,360,1.0,Urban,Y
Female,No,0,Graduate,Yes,2253,2940,206,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,5759,0,147,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,4493,4622,165,300,1.0,Rural,Y
Male,No,2,Not Graduate,No,10199,740,263,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,7458,1100,300,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,5350,0,117,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,3333,0,63,360,1.0,Semiurban,Y
Male,No,3+,Not Graduate,No,1343,7454,132,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,Yes,5842,2448,130,180,1.0,Urban,Y
Female,Yes,0,Not Graduate,No,7124,0,176,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,1632,354,244,360,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,2072,499,47,300,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,5864,0,99,180,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,6231,4053,83,120,1.0,Rural,Y
Female,No,0,Graduate,No,2456,0,314,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,3288,3977,130,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,1358,0,109,360,1.0,Semiurban,Y
Female,Yes,2,Not Graduate,No,12888,0,204,480,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,1978,2329,103,300,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,7183,0,147,360,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,4795,886,440,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,12121,0,433,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,2822,177,116,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,5130,1152,133,360,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,1496,2108,102,180,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,1265,0,46,360,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,7460,0,276,360,0.0,Semiurban,N
Female,No,1,Graduate,No,1408,3858,634,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4189,0,113,240,1.0,Semiurban,Y
Male,No,3+,Not Graduate,No,9975,1690,90,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,8288,2107,126,300,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3086,1844,156,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,Yes,1616,0,75,360,1.0,Urban,Y
Male,No,2,Graduate,Yes,7020,1714,112,300,1.0,Rural,Y
Male,No,0,Graduate,No,12576,2772,272,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,3091,1709,160,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2800,3337,318,300,1.0,Rural,Y
Female,No,1,Not Graduate,No,3403,0,184,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,7332,2074,77,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,11613,3951,105,300,0.0,Semiurban,Y
Male,No,0,Not Graduate,No,2063,0,172,240,1.0,Rural,Y
Male,No,0,Graduate,No,1721,7024,75,360,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,25285,0,70,360,1.0,Rural,Y
Male,No,0,Not Graduate,No,4341,5097,72,360,1.0,Semiurban,Y
Female,No,2,Graduate,No,5866,2318,202,180,1.0,Rural,Y
Female,Yes,3+,Not Graduate,No,3027,0,119,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,6925,3192,301,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,9624,2381,86,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,6062,2790,33,360,1.0,Urban,Y
Female,No,0,Graduate,No,16623,2333,137,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3909,2426,398,480,1.0,Urban,Y
Male,No,3+,Graduate,No,4088,1542,151,240,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,5778,1405,65,360,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,6805,10542,56,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,5765,2914,304,360,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,2000,1019,91,360,1.0,Urban,Y
Male,No,0,Graduate,No,6116,0,374,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3782,0,219,480,1.0,Rural,Y
Female,No,2,Not Graduate,No,3272,865,93,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,5027,410,298,180,1.0,Urban,Y
Male,Yes,3+,Graduate,No,2507,442,85,300,1.0,Urban,Y
Female,No,2,Graduate,Yes,2219,320,62,360,1.0,Rural,Y
Female,Yes,0,Graduate,Yes,787,0,88,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,16698,555,235,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,7251,0,293,120,0.0,Rural,N
Male,No,0,Graduate,No,4529,0,117,360,0.0,Urban,N
Male,Yes,1,Graduate,No,3080,0,48,300,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,656,0,58,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,2951,0,78,360,0.0,Urban,Y
Female,Yes,3+,Graduate,No,8112,0,68,360,1.0,Urban,Y
Female,No,0,Graduate,No,9504,1249,174,480,0.0,Semiurban,Y
Male,Yes,3+,Graduate,No,7704,0,474,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,5491,0,239,120,0.0,Semiurban,Y
Female,Yes,1,Graduate,No,12243,1465,75,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3905,3634,97,360,1.0,Urban,Y
Female,No,0,Graduate,No,10505,0,109,360,1.0,Urban,Y
Female,Yes,0,Not Graduate,Yes,3754,0,187,360,1.0,Semiurban,Y
Female,No,0,Not Graduate,No,2652,9938,380,360,1.0,Rural,N
Male,Yes,0,Not Graduate,No,2430,576,112,360,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,2332,0,373,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,7795,0,524,480,1.0,Rural,Y
Male,Yes,0,Graduate,No,2922,708,120,240,1.0,Semiurban,Y
Male,No,0,Graduate,No,2384,3465,118,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,8099,1330,119,120,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,6183,0,154,300,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,9641,0,119,360,1.0,Urban,Y
Male,No,0,Not Graduate,No,7036,1417,252,180,0.0,Urban,N
Male,Yes,1,Graduate,No,2901,10003,58,180,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,5183,0,107,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,5364,6966,180,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,2582,0,250,120,1.0,Rural,Y
Male,No,1,Graduate,No,2268,10624,554,360,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,3051,0,68,360,1.0,Rural,Y
Female,Yes,3+,Not Graduate,No,20447,821,100,360,0.0,Urban,Y
Male,Yes,0,Graduate,No,3681,14426,38,180,1.0,Urban,Y
Male,Yes,0,Graduate,No,11649,1293,76,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,3540,801,51,360,1.0,Rural,Y
Male,No,3+,Not Graduate,No,9156,1495,108,360,0.0,Semiurban,N
Male,Yes,2,Graduate,No,9244,677,129,360,0.0,Semiurban,Y
Male,No,0,Graduate,No,9574,0,196,300,1.0,Semiurban,Y
Male,No,3+,Graduate,Yes,6447,986,124,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,12889,0,196,240,1.0,Urban,Y
Female,Yes,2,Graduate,No,6405,4758,158,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,16308,3373,79,180,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,1581,0,53,360,1.0,Rural,Y
Female,No,3+,Not Graduate,No,6271,2144,210,360,1.0,Urban,Y
Male,No,0,Graduate,No,5992,1830,398,480,0.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,2551,1174,679,480,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7373,0,260,480,0.0,Semiurban,Y
Male,No,3+,Graduate,No,1731,2953,355,180,1.0,Semiurban,Y
Female,No,0,Graduate,No,3109,1593,195,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,1212,0,177,360,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,14633,783,158,360,0.0,Semiurban,N
Male,Yes,1,Graduate,No,4179,988,139,360,1.0,Rural,Y
Male,No,0,Graduate,No,22400,867,213,180,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,8621,1027,108,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,6725,6549,135,480,0.0,Rural,Y
Male,Yes,1,Not Graduate,No,3260,3737,73,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,2362,0,197,360,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,7087,0,83,480,1.0,Rural,Y
Male,No,0,Not Graduate,No,4674,1223,151,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,1924,0,200,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,1699,409,210,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,2512,4778,235,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,17582,0,130,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,23139,0,198,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,5673,701,110,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,5454,0,45,240,1.0,Urban,Y
Female,Yes,1,Not Graduate,No,3883,1294,204,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2555,1580,177,120,0.0,Semiurban,N
Male,Yes,2,Graduate,No,12869,1634,272,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,18242,0,146,360,1.0,Urban,Y
Male,No,2,Not Graduate,No,2629,0,56,360,0.0,Urban,N
Female,Yes,0,Graduate,No,4637,0,140,360,1.0,Urban,Y
Female,Yes,0,Graduate,Yes,3587,0,252,360,1.0,Rural,Y
Male,No,0,Graduate,No,3662,374,197,360,0.0,Semiurban,N
Male,Yes,3+,Graduate,No,11272,590,135,120,1.0,Rural,Y
Male,No,0,Graduate,No,1961,0,54,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,6812,0,80,240,0.0,Urban,N
Male,Yes,0,Graduate,No,8182,930,197,360,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,4449,443,54,360,1.0,Urban,Y
Male,No,3+,Graduate,No,9183,323,122,180,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5449,0,151,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,11521,4394,295,360,0.0,Urban,N
Male,Yes,3+,Graduate,Yes,1693,1035,214,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,3850,0,264,360,1.0,Rural,Y
Male,No,1,Graduate,No,4673,989,177,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,757,3425,89,120,1.0,Semiurban,Y
Female,No,2,Graduate,No,2298,1271,102,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,2780,527,84,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,9544,1381,211,180,0.0,Urban,N
Male,Yes,0,Graduate,No,2996,0,97,360,0.0,Urban,N
Male,Yes,0,Graduate,No,2772,0,117,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,8710,2941,150,300,1.0,Urban,Y
Male,No,0,Not Graduate,No,1583,1576,397,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,1153,2450,220,360,0.0,Semiurban,N
Male,Yes,1,Graduate,No,3815,2482,93,360,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,1783,1737,162,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,1832,2810,399,360,0.0,Rural,Y
Male,Yes,3+,Graduate,No,7342,2226,214,360,1.0,Urban,Y
Male,No,3+,Graduate,No,9074,1318,56,360,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,8537,547,85,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,10680,1141,81,360,0.0,Urban,N
Female,Yes,2,Not Graduate,No,11716,4021,352,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,1107,0,315,360,0.0,Semiurban,Y
Male,No,1,Graduate,Yes,6736,0,102,360,0.0,Rural,N
